,text,intent_ovr
6141,Trump invites Netanyahu to Washington for visit: White House,facts
20559,U.S.-backed SDF attacks Islamic State in Syria's Deir al-Zor province,facts
19039,Second group of refugees to leave Australian camp for U.S. resettlement,facts
14122,"France tells Libya to act over migrant ""crimes against humanity""",facts
8184,"How to get sick on the U.S. campaign trail: Little sleep, bad food, germs everywhere",facts
9157,U.S. court skeptical of lawmaker immunity in trading probe,facts
7266,"Obama administration completes rule to curb methane from federal oil, gas production",facts
17225,German coalition watch: Merkel says compromises inevitable,facts
14909,U.S. to fight Islamic State in Syria 'as long as they want to fight': Mattis,facts
20896,Pope Francis plane shifts course to avoid Hurricane Irma,facts
21017,"China's Xi says BRICS countries should deepen coordination, quicken reform of global economic governance",facts
7741,"For Trump, challenging an election loss would be tough",facts
17787,North Korea hackers stole South Korea-U.S. military plans to wipe out North Korea leadership: lawmaker,facts
7194,Ohio congressman Ryan challenges Pelosi for House Democratic leader,facts
5568,The Trump presidency on Feb. 8 at 8:10 P.M. EST,facts
15916,DUP blames Sinn Fein for Northern Ireland talks collapse,facts
5410,House to unveil Obamacare bill after next week,facts
7916,Trump backs off praise of Russia's Putin after debate,facts
6709,"Trump chooses congressman, former SEAL Zinke as interior secretary",facts
9233,Trump 'disappointed' by Republican criticism of judge comments,facts
20141,Risks to Brazil's Temer subside after bungled JBS plea bargain,facts
9902,Factbox: Legal issues in Supreme Court immigration case,facts
4758,State Department misses deadline to manage email records electronically,facts
14176,Lebanon's Hariri says to hold off resignation as PM,facts
20356,"New Zealand Labour still wants TPP part, but only if it can ban foreign home ownership",facts
6080,Ryan says Trump to address joint session of Congress Feb. 28,facts
1217,U.S. Senator Menendez's corruption trial to proceed: judge,facts
21407,"Mata Pires, owner of embattled Brazil builder OAS, dies",facts
9267,Which ‘La Raza’? Trump comments cause confusion over group's role,facts
16101,France releases brother of ex-Burkina president Compaore,facts
3055,Trump aide Juster to be nominated as U.S. ambassador to India: officials,facts
10456,Hillary Clinton to attend Nancy Reagan funeral services,facts
5834,Trump state visit to Britain 'months away': UK PM May spokeswoman,facts
1195,"Instead of U.S. midterms, Sanders focuses on smaller races",facts
14446,"After Macron meeting, Hariri says will clarify position in Lebanon",facts
12419,"Jordan's King rejects change in status of Jerusalem, its holy sites",facts
2053,Trump voices mild optimism about ties with North Korea,facts
7407,"Obama intends to brief, not lobby, Trump on policies: White House",facts
10487,"Cruz, Trump split four states in setback for Republican establishment",facts
5997,Philadelphia Fox affiliate suspends TV host for Conway remark: media,facts
4279,Russia says some progress made on Syria after Tillerson Moscow talks,facts
20668,"Hurricane, storm surge warnings issued for Florida ahead of Irma: NHC",facts
9277,Clinton hits rivals on immigration in California campaign swing,facts
6967,Trump considering Goldman Sachs COO Cohn for energy secretary: Fox Business Network,facts
20430,Thai junta tells Japan investors $45-billion development plan to go ahead,facts
16406,Legal challenge to UK ruling party's Northern Irish alliance fails,facts
17047,Philippines says 'big possibility' Malaysian militant leader killed,facts
17094,"Venezuela opposition refuses swearing in, small protest breaks out",facts
9593,House passes bill to aid children born into opioid dependency,facts
881,Democrats sue to get documents on Trump's Washington hotel,facts
9929,John Kerry: Carnival should not bar Cuban-Americans from cruises to Cuba,facts
10715,Trump on rival Bush's exit: Don't look at me,facts
3567,"Forget Trump White House, Belgium shows Melania the surreal",facts
15678,Saudi detains four current ministers in anti-corruption campaign,facts
13488,Russian PM says doping allegations part of new anti-Russian campaign,facts
15731,Ex-Argentina VP Boudou arrested in corruption case,facts
9554,Trump on best behavior as he woos Republicans but differences remain,facts
5823,Fired: Trump dumps top lawyer who defied immigration order,facts
19161,Ethnically divided Iraqi town fears fresh conflict after Kurds' independence vote,facts
3610,U.S. defense budget proposal sees modest increase despite hawkish rhetoric,facts
15096,Croatia government survives no-confidence vote over Agrokor debt crisis,facts
14441,Zimbabwe war vets threaten to unleash crowds on Mugabe,facts
5792,Democrat Gillibrand opposes Trump's Supreme Court nominee,facts
15187,Trump sets out strong trade message at Asia-Pacific meeting,facts
14150,U.N.'s de Mistura to discuss Syria in Moscow on Thursday: RIA,facts
1463,Trump administration in spotlight as U.S. top court returns,facts
11811,Factbox: EU launches action against Poland over courts reform,facts
7720,Oil industry workers split between Trump and Clinton,facts
9235,Senator Tim Kaine an online favorite to run with Clinton,facts
2136,Trump's Virginia comments last straw for disenchanted CEOs,facts
3772,Top Senate Democrat calls on White House to release Trump-Russia meeting transcripts,facts
18657,"Trump to visit Asia in November, North Korea in spotlight",facts
1302,Business leaders say no NAFTA better than bad deal,facts
19677,Rescued migrants say lucky to dodge Libyan coastal clampdown,facts
14621,Greeks in mourning and disbelief after flood that killed at least 15,facts
672,"Vietnam, China avoid quarrel over South China Sea during visit",facts
14558,Mob boss and mass murderer Riina dies of natural causes,facts
5224,"U.S., China discuss 'mutually beneficial' economic relationship",facts
19345,Teenager appears in UK court charged with London bomb attack,facts
17473,Wild elephants trample to death four Rohingya refugees in Bangladesh,facts
14405,Philippines' Duterte keeps open pit mining ban in policy clash,facts
4401,"Syria says U.S. attack killed six, caused extensive damage",facts
8458,Republican Asia experts say Trump presidency would be 'ruinous',facts
2819,Trump seen replacing Yellen at Fed with NEC's Cohn: Politico,facts
16465,"Turkey, Iraq agree on opening second border gate: Turkish customs minister",facts
14756,France puts suspected militant under investigation for kidnapping journalists,facts
3944,"Trump on Twitter (May 2): Shutdown, legislation, Director Comey",facts
2182,Three CEOs resign from Trump council over Charlottesville,facts
12962,Senior Palestinian figure Dahlan urges exit from peace talks over Trump's Jerusalem move,facts
13060,Paraguay Congress legalizes planting of medical marijuana,facts
18963,Syria producing more energy after army recaptures gas fields - ministry,facts
9019,U.S. completes 'takedown' of Medicare fraud: officials,facts
21033,"Merkel, Trump call for tougher U.N. sanctions against North Korea",facts
8949,White House chides Congress for failing to fund Zika,facts
5896,"Iraq to oppose U.S. travel curbs, keen to work together against Islamic State",facts
20591,Factbox: Key railroad assets in Hurricane Irma's path,facts
5209,Senate confirms Trump's pick Zinke as Interior Secretary,facts
12877,Greek president tells Turkey's Erdogan no treaty revision,facts
9657,Trump says not ready to support House speaker's agenda,facts
12293,"Six months on, Grenfell fire survivors weep at London memorial",facts
20469,British trade union conference evacuated over bomb threat,facts
17399,Japan ruling bloc heads for big election win despite voter distaste for PM Abe: poll,facts
13265,"European parliament not moving from Strasbourg, France says",facts
13401,Argentina blocks some activists from attending WTO meeting,facts
6186,"Washington braces for anti-Trump protests, New Yorkers march",facts
15886,At least 15 killed in Afghanistan tanker explosion,facts
10049,Obama urges Congress to take action on corporate tax reform,facts
4299,Sessions visits U.S.-Mexico border to push migrant crackdown,facts
5325,Firebrand Milo quits Breitbart News after child sex remarks,facts
19206,Bodybuilder dies after celebrity Muay Thai match with ex-Singapore Idol contestant,facts
8198,Obama to host Italy's Renzi for state visit Oct. 18,facts
14940,London authorities failing people displaced by deadly fire: lawmaker,facts
6515,Trump fills top jobs for his administration,facts
7853,Obama tells students at town hall about how failures have shaped him,facts
13328,Russia calls U.S. threat to destroy North Korea a 'bloodthirsty tirade',facts
16493,Victims of South Sudan attack on aid workers start testifying from U.S.,facts
12204,U.N. appalled at 30-year sentence for woman under El Salvador abortion law,facts
17735,U.S. flies bombers over Korea as Trump discusses options,facts
2152,U.S. ends program for Central American minors fleeing violence,facts
3041,"U.S. lawmakers urge Trump to press India's Modi on trade, investment",facts
10587,Trump's low advertising spending weighs on U.S. broadcasters,facts
8763,U.S. not coordinating Syria military operations with Russia: White House,facts
6931,China lodges protest after Trump call with Taiwan president,facts
835,Judge proposes May 7 trial date for former Trump aide Manafort,facts
17581,Joy mixed with caution in Gaza after Palestinian unity deal,facts
5237,U.S. attorney general still deciding whether to impose reforms on Chicago police,facts
10570,How the Republican elite turned a blind eye to the rise and rise of Donald Trump,facts
13168,Exclusive: U.S. document certifies Honduras as supporting rights amid vote crisis,facts
17861,EU to review Brexit approach if no deal by December: Tusk,facts
1237,Factbox: Some Trump assertions on Iran questioned by experts,facts
1937,Trump's Houston trip will serve as empathy test,facts
18745,"Militants attack Somali military base, kill at least 15",facts
15395,Philippines to ask China to clarify its intentions in disputed sea,facts
19453,Trump says Puerto Rico obliterated by Hurricane Maria,facts
10302,"Attack ads, protests and phone calls: selling the Supreme Court nominee",facts
10845,"Trump, Bush and Cruz to be elbow-to-elbow at CBS debate ",facts
8531,Senior ex-CIA official: Putin made Trump 'an unwitting agent' of Russia,facts
21008,China rules out military force as option to resolve Korean peninsula issues,facts
13530,Clashes kill four in Yemen capital as anti-Saudi alliance frays,facts
19890,Catalonia asks Spain for dialogue as independence struggle intensifies,facts
9557,Exclusive: U.S. plans new wave of immigrant deportation raids,facts
18590,Colombia and ELN rebels begin first-ever ceasefire,facts
4844,Highlights: The Trump presidency on March 19 at 6:50 p.m. EDT,facts
7922,Commentary: Manic or evasive - these veep guys sure don’t feel like leaders,facts
9988,New York City to pursue sweeping homelessness reforms: mayor,facts
15872,Scottish lawmakers call for international recognition for Catalan independence,facts
2790,Democrats introduce new bill on Russia and Iran sanctions,facts
5646,"State Department reverses visa ban, allows travelers with visas into U.S.: official",facts
2246,"Factbox: Many pieces to tax reform puzzle for Trump, U.S. Congress",facts
15003,"At least 61 dead, 300 injured by quake in Iran western province: state TV",facts
15150,Putin and Erdogan to use meeting next week to discuss Syria: agencies,facts
20291,Merkel calls on Hungary to implement court ruling on refugee distribution,facts
18915,"U.N. 'appalled' at mass hangings in Iraq, concerned more may follow",facts
21239,"In call with Saudi king, Trump urges end to Qatar dispute: White House",facts
17819,Bolivians protest Morales' new bid to extend term limits,facts
20319,North Korean threat highlights NATO missile shield 'weak link',facts
14179,Kremlin says no proof Russia was source of radioactive pollution,facts
11375,Italy rescues more than 250 migrants in Mediterranean,facts
5117,Top Senate Democrat urges Justice Department watchdog to probe possible interference,facts
11184,Mayor says Atlantic City may face bankruptcy after bill vetoed,facts
10277,Hillary Clinton wins Missouri Democratic primary: Associated Press,facts
12344,Australia's population growth outpaces world as migrants rush in,facts
3554,U.S. lawmakers reintroduce bill to end restrictions on Cuba travel,facts
4572,Environmental groups sue Trump administration for approving Keystone pipeline,facts
3753,"Ryan tries to tamp down Comey memo furor, says has confidence in Trump",facts
210,Republican Moore embraces Trump message on eve of Alabama election,facts
5348,"Trump administration drafts plan to raise asylum bar, speed deportations",facts
5931,Putin and Trump likely to discuss Ukraine sanctions: White House aide,facts
18982,"Under pressure to act against Kurds, Iraq has limited options",facts
13477,"UK PM May is focused on tackling extremism, spokesman says in response to Trump",facts
16331,Alphabet soup as Kazakh leader orders switch to Latin letters,facts
14064,"Swiss pledge more funds for EU budget, progress on treaty",facts
5737,White House says Trump 'extremely upset' but accepts Australia refugee deal,facts
9357,Sanders disappointed after Trump pulls out of debate,facts
15405,China says will keep talking to Myanmar over stalled dam scheme,facts
2495,U.S. officials discussing withholding some aid to Egypt over NGO law,facts
16278,Germany refuses to recognize Catalonia independence move,facts
5700,Lockheed says didn't seek help from Trump's ex-campaign manager,facts
16877,U.S. says 24 people harmed from recent 'attacks' in Cuba,facts
3270,"Factbox: Trump on Twitter (June 9) - Comey, Dodd-Frank repeal, jobs",facts
8550,Tea Party Republican Huelskamp loses re-election bid for U.S. House,facts
12780,Scotland's Sturgeon says staying in EU customs union now the only sensible option,facts
6465,Republican senators urge Trump to embrace findings on Russia hacking,facts
1460,"U.S. ""probing"" to see if North Korea interested in dialogue: Tillerson",facts
12499,French government dampens Corsican nationalists' autonomy hopes,facts
10139,Wisconsin governor backs Republican Ted Cruz in presidential race,facts
7356,"Investors, economists brace for new dangerous game: parsing Trump's words",facts
8881,Republican Trump says 'system is rigged' after Clinton email announcement,facts
19908,Czech foreign minister lightly injured in car accident: ministry,facts
14605,China says 'dual suspension' proposal still best for North Korea,facts
18846,Iraqi PM's office says Turkey agrees to deal only with Baghdad on oil exports,facts
4592,North Carolina lawmakers reach deal to repeal transgender bathroom law,facts
15671,China tests new dredger capable of South China Sea projects: state media,facts
6385,Trump accuses U.S. spy agencies of Nazi practices over 'phony' Russia dossier,facts
20969,Russia says 'will consider' U.S. resolution on North Korea but with caveats,facts
5833,U.S. Senate advances nomination of Tillerson as Secretary of State,facts
6292,Trump's Commerce pick Wilbur Ross is no stranger to protectionism,facts
11585,U.S. envoy says expects Russia to maintain big presence in Syria,facts
10863,Obama to nominate acting Education Secretary King to fill post permanently,facts
21096,Trump reaffirms commitment to defend U.S. and allies,facts
1858,Facebook gives election ad data to U.S. special counsel: source,facts
16689,Most EU states push reform of labor rules sought by France's Macron,facts
21275,EU urges swifter Brexit talks as London seeks 'flexibility',facts
6525,Schumer on Republican Obamacare repeal: it's their responsibility,facts
958,Colony NorthStar ends consulting agreement with former Trump aide Gates,facts
12741,U.N. warns against any hasty returns of Rohingya to Myanmar,facts
17294,U.S. Army Sergeant Bergdahl could face life sentence for endangering troops,facts
20859,Factbox: Humanitarian crisis worsens in Bangladesh as many Rohingya flee Myanmar,facts
21073,"Frankfurt defuses massive WWII bomb after evacuating 60,000",facts
2502,U.S. lawmaker wounded in June shooting discharged from hospital,facts
10883,U.S. can meet Paris climate deal goals despite court ruling: White House,facts
21380,Vietnam calls for Southeast Asian unity amid South China Sea tension,facts
4527,Democrat Donnelly to support Trump pick for U.S. Supreme Court,facts
5274,U.S. diplomat warns against isolationism in implicit Trump rebuke,facts
3169,"Pence slams Venezuela government, drawing rebuke from Maduro",facts
13516,Iceland's Left-Green opposition leader to become new prime minister,facts
6257,China urges U.S. to bar Taiwan delegation from Trump inauguration,facts
1585,U.S. Senate opposition to Obamacare repeal bill grows,facts
16466,Pakistani court issues arrest warrant for ex-PM Sharif: media,facts
14352,Zimbabwe's Mugabe calls for cabinet meeting on Tuesday,facts
12738,Hungary's Jobbik asks voters to help pay 'court-martial' fine,facts
12370,Irish parliament committee backs referendum on abortion up to 12 weeks,facts
18729,Myanmar ministers deliver aid to trapped Rohingya village,facts
17824,"Striking French workers disrupt flights, schools",facts
12505,China warns against livestreaming after 'rooftopper' falls to death,facts
16999,U.S. drone strike kills militant whose group killed 250 in Pakistan,facts
518,"Senator Franken, on groping allegations, vows 'this will not happen again'",facts
15424,Catalan secessionist parties fail to agree on unity ticket for December vote,facts
15576,Iran says Saudi Arabia facing results of its 'wars of aggression',facts
21116,"Iran says warns off U.S. U2 spy plane, drone",facts
2691,McConnell says U.S. Senate to vote early next week on Obamacare repeal,facts
2194,Lighthizer says China intellectual property probe a high priority,facts
3662,Israeli minister expresses concern over U.S.-Saudi arms deal,facts
4550,Key Democrat calls Flynn immunity request 'grave and momentous' step,facts
8300,U.S. Senate's Reid warns against postponing spending decisions,facts
13199,Enter the 'petro': Venezuela to launch oil-backed cryptocurrency,facts
2771,"Republican Scalise undergoes surgery, in fair condition: hospital",facts
16973,Catalonia finds no friends among EU leaders,facts
6218,New Zealand's Xero chairman resigns after accepting Trump position,facts
18118,Catalonia showdown could unleash new euro crisis: EU lawmaker,facts
4143,Trump administration may change rules that allow terror victims to immigrate to U.S.,facts
19024,China says situation on Korean peninsula very dangerous,facts
10411,Senate banking panel approves Szubin for key sanctions post,facts
18197,UK minister Gove says he hopes May will remain Prime Minister,facts
4664,Russian bank VEB says executives had talks with Trump son-in-law,facts
18222,Hacking attacks: a pre-election setback for Italy's 5-Star Movement,facts
2989,Trump pushes U.S. labor board toward Republican control,facts
8311,"Trump says he, Mexican leader discussed border wall but not who pays",facts
2080,Trump to visit Arizona town on U.S.-Mexican border,facts
18777,Senators urge Trump administration to act on Myanmar Rohingya,facts
14267,"Turkey has not seen data on fugitive Raqqa fighters, officials say",facts
1529,"U.S. lawmakers ask Facebook, Twitter for information on anti-fracking ads",facts
20830,French union says will not join far-left protest against Macron reforms,facts
6538,Ryan wins re-election as speaker of U.S. House of Representatives,facts
14006,Pope faces diplomatic dilemma in Myanmar visit,facts
19980,Turkey detains main opposition leader's lawyer over coup links,facts
12931,Greek police fire teargas at protesters on anniversary of riots,facts
5557,"Trump orders target cartels, crime as attorney general sworn in",facts
14661,"Tillerson, in Myanmar, calls for credible probe of atrocities",facts
12458,New Polish PM: must defend national interest in debate on EU future,facts
11378,Russia establishing permanent presence at its Syrian bases: RIA,facts
11567,Worries about Malaysia's 'Arabisation' grow as Saudi ties strengthen,facts
6820,One-time Trump adviser Page sees opportunities in Russia,facts
3688,U.S. official backs Trump version on Comey firing timing,facts
6302,Germany's Schaeuble warns Trump over protectionism: WSJ,facts
4188,Trump to hold news conference next week on U.S. veterans issues,facts
2189,China says it will defend interests if U.S. harms trade ties,facts
12904,ITER nuclear fusion project faces delay over Trump budget cuts,facts
19964,UK police arrest suspected knifeman near Birmingham train station: paper,facts
20203,Key points in Juncker's 2017 annual EU address,facts
11329,Japan says revising comfort women agreement with South Korea unacceptable,facts
10023,Obama defends choice of white male jurist for Supreme Court,facts
8295,Trump's immigration pitch falls flat with Republicans near the border,facts
10626,U.S. Supreme Court justice candidate list still open: White House,facts
3264,U.S. seeks to dismiss lawsuit against Trump over foreign payments,facts
19488,"France's Le Pen: far-right will rebuild, continue fight against EU",facts
4498,"'Not natural friends': Trump, Xi will be 'odd couple' at first summit",facts
1444,Oracle Co-CEO questions policies on student visas,facts
2366,Tillerson tightens the reins at State Department,facts
17863,Catalan parliament session delayed for talks between parties,facts
5880,Trump aides call travel ban success despite broad criticism,facts
8578,Islamic State calls slain Muslim American soldier an 'apostate',facts
18117,"Catalan parliament defies Madrid pressure, works on independence declaration",facts
3708,"Trump says, speaking for himself, there was no collusion with Russia",facts
12050,"Honduran helicopter crash kills six, including president's sister",facts
20148,Mauritius attorney general steps down amid money laundering probe,facts
15914,Sinn Fein says Northern Ireland talks have failed,facts
9707,House panel near unveiling new Puerto Rico debt bill,facts
4485,EU official says no sign Trump plans to ease Russia sanctions,facts
2213,U.S. judge orders Illinois to boost disabled care,facts
20766,New Zealand's Labour widens lead as governing party loses ground,facts
3467,Paris mayor says Trump climate withdrawal 'a mistake with fatal consequences',facts
19734,Russian bombing of U.S.-backed forces being discussed at 'highest levels': Mattis,facts
2013,Treasury chief says 'debt ceiling will be raised',facts
5904,Two Iraqis lead legal fight against Trump order blocking entry,facts
17145,Reveal your sources: Swiss suspect told in German spy trial,facts
9064,Senate blocks Democrats' plan to deny firearms to those on 'watch lists',facts
13295,Suspected Boko Haram suicide bombers kill at least 13 in Nigeria: officials,facts
19674,Head of UK's anti-Brexit party appeals for help to stop EU exit,facts
11201,"Friendly no more: Trump, Cruz erupt in bitter fight at Republican debate",facts
7978,"U.S Treasury’s Lew says Colombia peace deal to boost investment, unlock new aid",facts
17943,UK PM May tells business chiefs: two-year Brexit transition is assured - source,facts
15209,Argentina says Russia wants more Argentine food products,facts
4252,"At home, rebel Republican lawmakers pay no price for defying Trump",facts
20463,Ex-Georgian leader Saakashvili barges across Ukraine border,facts
16135,"Puigdemont, other sacked Catalan leaders in Brussels: media",facts
4917,"Emirates, Etihad boarding as usual after second Trump travel ban blocked",facts
20363,Factbox: Over 7.4 million lose power from Irma in U.S. Southeast - utilities,facts
8660,Former Ku Klux Klan leader Duke runs for U.S. Senate in Louisiana,facts
10314,Kerry speaks with Russian counterpart ahead of Moscow visit,facts
18567,Islamic State claims Marseille knife attack that killed two people,facts
3832,FBI chief promises to disclose any attempt to stall Russia probe,facts
19047,"Exclusive: Mexico unlikely to find more quake survivors, emergency chief says",facts
2031,"Congress will raise debt ceiling, has many options: Ryan",facts
14760,Coup? What coup? Zimbabwe's Herald misses army move on Mugabe,facts
20089,"London fire inquiry starts amid anger, despair of survivors",facts
2962,France's Macron trades barbs for diplomacy with Trump,facts
2792,Trump Jr.'s Russia emails could trigger probe under election law,facts
14543,Ukraine prosecutors open case as inter-agency conflict escalates,facts
799,"Trump wants $4 billion more for missile defense, citing North Korea",facts
3915,U.S. House Intelligence Committee has 'successful' Russia hearing,facts
941,U.S. EPA bans some scientists from independent advisory boards,facts
17208,"U.S. condemns killing of Malta journalist, says FBI assisting probe",facts
20377,Tunisia parliament backs Chahed's new government,facts
9783,Baltimore primary voters back reform candidate for mayor after Freddie Gray unrest,facts
690,"Trump praises 'productive' China talks, but tough action seen ahead",facts
3473,UK's Farage 'person of interest' in Trump-Russia investigation: Guardian,facts
18029,Sudan to extend ceasefire through end-December: SUNA,facts
1947,New Jersey Senator Menendez fails to win breaks in corruption trial,facts
2312,"At Trump rally, West Virginia governor switches parties",facts
1666,"Factbox: Latest Obamacare repeal bill would block grant money to states, gut Medicaid",facts
6316,Trump aides deny summit with Putin planned,facts
10516,Clinton ex-employee tells FBI no sign email server was hacked: NYT,facts
13302,Saudi-led coalition says confident Saleh's GPC to return to Arab fold,facts
4505,U.S. appeals court sets May hearing on revised Trump travel order,facts
2681,Russian lawyer who met Trump Jr. says ready to testify to Congress,facts
4268,"Trump ally Manafort will register as foreign agent, spokesman says",facts
4479,U.S. labor chief wants more drastic changes to NAFTA from Trump,facts
18930,Fewer babies born in Singapore last year despite incentives,facts
4525,Flynn did not initially disclose income from Russia-linked companies,facts
19831,Tillerson says U.S. weighing closing embassy in Cuba over sonic attacks,facts
6945,Taiwan says contact with Trump agreed ahead of time-presidential office,facts
8716,"For Islamophobia, take two of these and call a Muslim in the morning",facts
6639,Trump's infrastructure splurge would collide with U.S. skilled labor crunch,facts
18099,Tokyo Governor Koike leaves door open for ruling party PM post election,facts
18531,"Most Filipinos believe drug war kills poor people only, survey shows",facts
9150,U.S. lawmakers disrupt Orlando 'moment of silence' over gun policy,facts
18544,Trump to top U.S. diplomat: Don't bother talking to North Korea,facts
