,text,subject,intent_ovr
44,House Democrats rally to protect Special Counsel Mueller,politicsNews,facts
45,Second U.S. judge blocks Trump administration birth control rules,politicsNews,facts
46,Senators seek to stop expansion of airport facial scans,politicsNews,facts
47,U.S. launches effort to reduce reliance on imports or critical minerals,politicsNews,facts
48,"Short-term government funding, disaster aid bills advance in House",politicsNews,facts
49,Spy chiefs pressure Congress to renew expiring surveillance law,politicsNews,facts
50,Trump urges Congress to pass short-term spending bill,politicsNews,facts
51,"House gives final approval to tax bill, delivering victory to Trump",politicsNews,facts
52,U.S. tax plan roils popular bet in bond market,politicsNews,facts
53,U.S. lawmakers seek temporary extension to internet spying program,politicsNews,facts
54,Trump commutes fraud sentence of kosher meatpacker,politicsNews,facts
55,U.S. responds in court fight over illegal Indonesian immigrants,politicsNews,facts
56,Democrat Franken to leave Senate on January 2,politicsNews,facts
57,U.S. lawmakers seek temporarily extension to internet spying program,politicsNews,facts
58,Top Democrat says Trump firing of Mueller could provoke 'constitutional crisis',politicsNews,facts
59,U.S. tax bill may face lawsuits with long odds but political payoffs,politicsNews,facts
60,Vote in Senate on 'Dreamers' hinges on bipartisan pact: McConnell,politicsNews,facts
61,White House says tax bill will not hurt Puerto Rico,politicsNews,facts
62,Democrats plan to use tax bill to attack Republicans at midterms,politicsNews,facts
63,"After ruling, Virginia legislature's majority to be chosen by lot",politicsNews,facts
64,"Fight over Alaska Arctic drilling has just begun, opponents vow",politicsNews,facts
65,Senator Cornyn trying to get Big Corn behind U.S. biofuels reform,politicsNews,facts
66,"In Georgia, battle of the 'Staceys' tests Democrats' future",politicsNews,facts
67,Democrat wins by one vote in Virginia legislative election recount,politicsNews,facts
68,FBI deputy director to sit for closed interview with House panels,politicsNews,facts
69,White House expects Congress to waive spending cuts triggered by tax overhaul,politicsNews,facts
70,Trump on Twitter (Dec 20) - Tax Bill,politicsNews,facts
71,What's in the final Republican tax bill,politicsNews,facts
72,Trump: Market has not fully digested tax cut changes,politicsNews,facts
73,White House aide sees temporary funding fix for children's health program,politicsNews,facts
74,"Tax bill's 'pass-through' rule will aid wealthy, not workers: critics",politicsNews,facts
75,U.S. tax cuts won't make housing more affordable: analysts,politicsNews,facts
76,"Banks, healthcare service firms among winners from U.S. tax bill",politicsNews,facts
77,Trump's Supreme Court appointee Gorsuch plots rightward course,politicsNews,facts
78,Republicans seek to question FBI officials in Clinton probe: letter,politicsNews,facts
79,Trump aides hope win on taxes will stem slide in poll numbers,politicsNews,facts
80,Congress faces tricky path to avoid government shutdown,politicsNews,facts
81,Factbox - Big-ticket items at center of Congress funding battle,politicsNews,facts
82,Senate parliamentarian rules against tax bill provisions: Sanders,politicsNews,facts
83,"Senate panel snubs Trump's pick to run EXIM, OKs other nominees",politicsNews,facts
84,House will likely need to vote again on tax bill: Republican leader,politicsNews,facts
85,"Instant View: House approves biggest tax overhaul in 30 years, Senate next",politicsNews,facts
86,Senate begins debate on final Republican tax bill,politicsNews,facts
87,Bill could make Congress members liable for harassment payouts,politicsNews,facts
88,Green groups sue Trump administration over delay of methane rule,politicsNews,facts
89,House Democratic leaders urging 'no' vote on spending bill: CNN reporter,politicsNews,facts
90,"Pence to preside over Senate tax bill vote, his office confirms",politicsNews,facts
91,Senate to vote on final tax bill Tuesday evening: McConnell,politicsNews,facts
92,Republicans appear all but certain to pass tax legislation,politicsNews,facts
93,Court orders Trump administration to give immigrant teens abortion access,politicsNews,facts
94,House plan would increase Trump's disaster aid request,politicsNews,facts
95,House panel chair introduces $81 billion disaster aid bill,politicsNews,facts
96,Trump nominates Liberty University professor to Justice Department post,politicsNews,facts
97,"Trump on Twitter (Dec 18) - Congressional Races, train accident, tax cuts",politicsNews,facts
98,Trump Cabinet officials to visit Puerto Rico to assess recovery,politicsNews,facts
99,'Dreamer' immigration bill not on U.S. Senate agenda this month,politicsNews,facts
100,Senator Warren hits out at 'effort to politicize' U.S. consumer agency,politicsNews,facts
101,Trump strategy document says Russia meddles in domestic affairs worldwide,politicsNews,facts
102,Republican Senator Collins says she will vote for tax bill,politicsNews,facts
103,Democratic U.S. senator seeks audit of EPA chief's trip to Morocco,politicsNews,facts
104,Republican Senator Lee says he will vote for tax bill,politicsNews,facts
105,Trump: U.S. has 'no choice' but to deal with North Korea arms challenge,politicsNews,facts
106,Trump judicial nominee withdraws from consideration,politicsNews,facts
107,Trump calls for U.S. infrastructure plan after train derailment,politicsNews,facts
108,"Final Republican tax bill slashes U.S. corporate rate, voting next week",politicsNews,facts
109,Factbox: What's in the final U.S. Republican tax bill,politicsNews,facts
110,Trump defends tax plan as 'great Christmas gifts' to middle class,politicsNews,facts
111,House to vote on tax bill Tuesday afternoon: aides,politicsNews,facts
112,White House optimistic Congress will avoid government shutdown,politicsNews,facts
113,U.S. taxpayers rush to claim deductions under threat from tax bill,politicsNews,facts
114,Republicans confident tax bill to become law this week,politicsNews,facts
115,Republican Senator John McCain leaves Washington before expected tax vote,politicsNews,facts
116,Trump says not considering firing U.S. special counsel Mueller,politicsNews,facts
117,Trump allies say Mueller unlawfully obtained thousands of emails,politicsNews,facts
118,Senator-elect Jones not joining calls for Trump resignation,politicsNews,facts
119,Trump administration bans selected words at health agencies: paper,politicsNews,facts
120,Congressman will not seek relection amid misconduct probe,politicsNews,facts
121,Trump to say in security speech that China is competitor: officials,politicsNews,facts
122,Factbox: Trump on Twitter (December 15) - Quantico,politicsNews,facts
123,Republican tax bill retains U.S. electric vehicle tax credit,politicsNews,facts
124,Attorney General Sessions has lukewarm praise for FBI after Trump attack,politicsNews,facts
125,Senate Democrats to force vote on FCC net neutrality repeal,politicsNews,facts
126,"U.S. lawmaker probed on sex reports, second congressman denies charges",politicsNews,facts
127,Republicans join push to lift secrecy around misconduct in Congress,politicsNews,facts
128,"Trump officials brief Hill staff on Saudi reactors, enrichment a worry",politicsNews,facts
129,U.S. judge to lift house arrest for former Trump campaign manager Manafort,politicsNews,facts
130,Republican Senator Corker says he will support tax bill,politicsNews,facts
131,Rubio signals support for tax bill after child tax credit tweaks,politicsNews,facts
132,U.S. tax negotiators raising refundable portion of child tax credit: congresswoman,politicsNews,facts
133,Republicans have finalized compromise U.S. tax bill -chief House tax writer,politicsNews,facts
134,"Republican Senator Rubio will back tax bill: CNBC, citing sources",politicsNews,facts
135,Exclusive: Senator Cruz wants to cap renewable fuel credits at 10 cents - document,politicsNews,facts
136,Trump administration issues new rules on U.S. visa waivers,politicsNews,facts
137,Trump urges Moore to concede Alabama Senate race,politicsNews,facts
138,Net neutrality repeal gives Democrats fresh way to reach millennials,politicsNews,facts
139,"As Republican tax vote nears, more senators waver",politicsNews,facts
140,"Factbox: Trump on Twitter (December 14) - Stock market, federal regulations",politicsNews,facts
141,House committee questions head of Trump campaign data firm: sources,politicsNews,facts
142,Republican governors meet with Pence over NAFTA concerns,politicsNews,facts
143,Factbox: Provisions of the U.S. Republicans' final tax bill,politicsNews,facts
144,House Speaker Ryan mulls retirement after 2018 elections: Politico,politicsNews,facts
145,Republican Representative Farenthold will not seek re-election,politicsNews,facts
146,Alabama Senate race winner urges Republican rival to 'move on',politicsNews,facts
147,Fund managers seek stocks benefiting from Democratic gains in 2018 U.S. elections,politicsNews,facts
148,Factbox: Republicans to keep an eye on as Senate nears vote on tax bill,politicsNews,facts
149,Republican House Speaker Ryan told Trump retirement report was rumors were not true: White House,politicsNews,facts
150,White House says will work with Rubio on child tax credit,politicsNews,facts
151,"Republican Senator Lee undecided on tax bill, seeks child credit changes: aide",politicsNews,facts
152,"U.S. tax bill to preserve key renewable energy credits, sources say",politicsNews,facts
153,U.S. bill to allow property and income or sales tax deductions: key lawmaker,politicsNews,facts
154,Senator McCain will vote on tax bill -No. 2 Republican,politicsNews,facts
155,Nominee for U.S. EPA chemical safety withdraws: Bloomberg,politicsNews,facts
156,"Senators Burr, Tillis oppose Trump's EPA nominee Dourson: reports",politicsNews,facts
157,Pence delays Middle East trip in case needed for U.S. tax vote,politicsNews,facts
158,Kentucky lawmaker a 'probable suicide' amid sexual misconduct accusations,politicsNews,facts
159,"Mulvaney says U.S. tax bill votes could be Tuesday, Wednesday: CNBC",politicsNews,facts
160,"Donald Trump Jr. wants 'leak' probe, as Congress' Russia probes press on",politicsNews,facts
161,Do not expect postcard-sized tax return from Republican plan: experts,politicsNews,facts
162,"Republicans forge tax deal, final votes seen next week",politicsNews,facts
163,Alabama win thrills Democrats as Republicans point fingers,politicsNews,facts
164,Trump's eldest son testifies to Senate committee in Russia probe,politicsNews,facts
165,What is in the Republicans' final tax bill,politicsNews,facts
166,Factbox: What is in the U.S. Republicans' final tax bill,politicsNews,facts
167,Minnesota lieutenant governor to replace Franken in Senate,politicsNews,facts
168,Stop-gap bill unveiled to fund U.S. government until Jan. 19,politicsNews,facts
169,Senior justice official dismisses Republican charges of bias in Trump probe,politicsNews,facts
170,Senator McCain treated for side effects of cancer therapy,politicsNews,facts
171,Trump 'dossier' firm: Republicans leaked bank records in retaliation,politicsNews,facts
172,Two Trump judicial nominations rebuffed by Senate,politicsNews,facts
173,U.S. prepares to open doors on billion-dollar London embassy,politicsNews,facts
174,"In elaborate hoax, websites say NFL Redskins renamed as Redhawks",politicsNews,facts
175,"After Alabama upset, Democrats see new prospects in U.S. South",politicsNews,facts
176,Schumer: delay tax overhaul vote until new Alabama senator seated,politicsNews,facts
177,Republican Senator Corker says he is still undecided on tax bill,politicsNews,facts
178,Control of Virginia state House at stake as recounts begin,politicsNews,facts
179,Trump says he would accept 21 percent corporate tax rate,politicsNews,facts
180,House and Senate reach deal on U.S. tax legislation: Hatch,politicsNews,facts
181,U.S. House to stop using public funds for harassment settlements: speaker,politicsNews,facts
182,U.S. House and Senate leaders reach agreement 'in principle' on tax plan: AP,politicsNews,facts
183,White House aide Omarosa Manigault Newman resigns,politicsNews,facts
184,Analyst View: Democrat Jones wins Alabama U.S. Senate seat in blow to Trump,politicsNews,facts
185,Top U.S. Senate Democrat hopeful Congress will help 'Dreamers' by year end,politicsNews,facts
186,Senator Gillibrand calls Trump Twitter post 'sexist smear',politicsNews,facts
187,Trump loses his big bet on Alabama U.S. Senate race,politicsNews,facts
188,FBI officials said Clinton 'has to win' race to White House: NYT,politicsNews,facts
189,Trump congratulates Democrat for Alabama U.S. Senate victory in tweet,politicsNews,facts
190,"Prayer, principle guide women voters in Roy Moore's Alabama hometown",politicsNews,facts
191,Democrat wins U.S. Senate seat in Alabama in setback for Trump,politicsNews,facts
192,"Factbox: Trump on Twitter (December 12) - Democrats, Kirsten Gillibrand, Chuck Schumer",politicsNews,facts
193,Crucial details of Republican tax plan in flux as deal deadline looms,politicsNews,facts
194,Tillerson seeks to ease skepticism about U.S. State Department reorganization,politicsNews,facts
195,"Trump to meet House, Senate tax cut negotiators Wednesday: White House",politicsNews,facts
196,"Republicans propose to delay, pause Obamacare taxes",politicsNews,facts
197,Trump signs into law U.S. government ban on Kaspersky Lab software,politicsNews,facts
198,Senator Grassley expresses reservations on two Trump judge nominees,politicsNews,facts
199,U.S. judge orders special counsel to turn over evidence on Michael Flynn,politicsNews,facts
200,"U.S. Congress to let Iran deadline pass, leave decision to Trump",politicsNews,facts
201,Senators say effort to protect 'Dreamers' making progress,politicsNews,facts
202,Trump's attack on Senator Gillibrand 'nasty': Senator Schumer,politicsNews,facts
203,House Speaker Ryan says he believes upbeat Treasury tax study,politicsNews,facts
204,Senate leader says he's confident of deal to keep government open after Dec. 22,politicsNews,facts
205,White House to host fresh biofuels talks to help refiners: sources,politicsNews,facts
206,Trump will announce new U.S. security strategy on Monday: adviser,politicsNews,facts
207,"Trump signs defense policy bill, urges U.S. Congress to fund it",politicsNews,facts
208,"Trump's push to cut federal jobs has modest impact, mostly in defense",politicsNews,facts
209,Cuba tells U.S. suspension of visas is hurting families,politicsNews,facts
210,Republican Moore embraces Trump message on eve of Alabama election,politicsNews,facts
211,Women accusing Trump of sexual misconduct seek congressional probe,politicsNews,facts
212,U.S. House Democratic women seek probe of Trump misconduct accusations,politicsNews,facts
213,Judge tells ex-Trump adviser Manafort to stop communicating with media,politicsNews,facts
214,"U.S. military must accept transgender recruits by Jan. 1, judge rules",politicsNews,facts
215,Nuclear plan backer denies Inauguration Day text with top Trump aide,politicsNews,facts
216,U.S. Treasury tax study slammed as 'fake math' by Democrats,politicsNews,facts
217,U.S. Treasury adds cash management measures due to debt limit,politicsNews,facts
218,Factbox: Women who have accused Trump of inappropriate conduct,politicsNews,facts
219,Nearly half of Americans still oppose Republican tax bill: Reuters/Ipsos poll,politicsNews,facts
220,Justice Department reviewing options after ruling on transgender recruits: White House,politicsNews,facts
221,"Haley: Women accusers should be heard, even if Trump is target",politicsNews,facts
222,"Exclusive: Contenders emerge for No.2 Fed job, search to narrow",politicsNews,facts
223,Trump to give speech on U.S. tax overhaul on Wednesday: White House,politicsNews,facts
224,Powell faces early test of policy view as tax cuts near approval,politicsNews,facts
225,Roy Moore campaign casts Alabama race as referendum on Trump,politicsNews,facts
226,Democrats eye gains in Pennsylvania trial on 'goofy' gerrymandering,politicsNews,facts
227,Trump urges Alabama voters to back Roy Moore,politicsNews,facts
228,Senator Collins says undecided on final tax bill vote,politicsNews,facts
229,Trump attends civil rights museum opening; black leaders stay away,politicsNews,facts
230,Ukrainian author of Manafort op-ed says sought input to avoid errors,politicsNews,facts
231,Special Counsel Mueller filing shows Manafort drafted Ukraine op-ed despite gag order,politicsNews,facts
232,"Trump lifts refugee ban, but admissions still plummet, data shows",politicsNews,facts
233,"Trump on Twitter (Dec 8) - Hanukkah, Roy Moore, Wells Fargo",politicsNews,facts
234,U.S. lawyer defending travel ban grilled in court over Trump's tweets,politicsNews,facts
235,U.S. House committee 'may reconsider' WHO cancer agency funds,politicsNews,facts
236,Trump senior aide Dina Powell to resign early next year: White House,politicsNews,facts
237,Special Counsel Mueller produces evidence that Manafort drafted op-ed,politicsNews,facts
238,U.S. top court takes up Republican challenge to Maryland electoral district,politicsNews,facts
239,White House pressures Big Corn to meet on U.S. biofuels policy,politicsNews,facts
240,Former Trump adviser interviewed in Congress in Russia probe,politicsNews,facts
241,Farenthold should resign if misconduct accusations true: senior House Republican,politicsNews,facts
242,Congressman Franks says resigning immediately,politicsNews,facts
243,U.S. tax revamp still incomplete as Republicans eye social program cuts,politicsNews,facts
244,Special election to replace Conyers to be held Nov. 2018: governor,politicsNews,facts
245,Trump signs temporary spending bill as budget talks intensify,politicsNews,facts
246,U.S. tax repatriation plan may not cure long-term dollar weakness,politicsNews,facts
247,Aide tries to refocus tax debate after Trump's corporate rate remark,politicsNews,facts
248,Franken and Franks resign as misconduct charges batter Congress,politicsNews,facts
249,Rep. Franks to resign after staff members' complaints of harassment,politicsNews,facts
250,Aide tries to refocus U.S. tax debate after Trump's corporate rate remark,politicsNews,facts
251,"Millions would lose mortgage, gift write-offs under U.S. tax bill: study",politicsNews,facts
252,Blackwater founder Prince details meeting with Russian in Seychelles,politicsNews,facts
253,Congress averts government shutdown for now,politicsNews,facts
254,Civil rights pioneer to eschew museum opening after Trump says will attend,politicsNews,facts
255,Judge presiding over Michael Flynn criminal case is recused: court,politicsNews,facts
256,House ethics panel probing Rep. Farenthold over harassment allegations,politicsNews,facts
257,Factbox: Trump on Twitter (December 7) - Pearl Harbor Remembrance Day,politicsNews,facts
258,House Intelligence chairman cleared of disclosing classified information,politicsNews,facts
259,"Paul Manafort, Special Counsel Mueller tussle over Ukrainian op-ed",politicsNews,facts
260,"Congress passes bill to temporarily fund government, avert shutdown",politicsNews,facts
261,"Trump open to biofuel policy reform, senators say after meeting",politicsNews,facts
262,House approves stop-gap government funding bill,politicsNews,facts
263,Manafort's work on draft op-ed does not violate gag order: defense lawyer,politicsNews,facts
264,"Exclusive: White House doesn't foresee shutdown, Trump wants 20 percent corporate tax",politicsNews,facts
265,Libya says pushing to be removed from Trump travel ban list,politicsNews,facts
266,Pelosi says Democrats will not back short-term funding bill on Thursday,politicsNews,facts
267,"Pentagon wants 12 month procurement time for major weapons programs, official",politicsNews,facts
268,FBI Director Wray defends bureau in wake of Republican criticism,politicsNews,facts
269,President's son had legitimate reasons to not answer House panel questions: White House,politicsNews,facts
270,Senate confirms top EPA enforcement official,politicsNews,facts
271,Funding bill clears hurdle in House,politicsNews,facts
272,Exclusive: U.S. regulators offer Congress olive branch on loans,politicsNews,facts
273,White House says focused on getting lowest possible corporate tax rate,politicsNews,facts
274,U.S. lawmakers propose ban on arbitration of sexual misconduct claims,politicsNews,facts
275,"Ryan feels good about spending bill, wants budget cap talks",politicsNews,facts
276,"Democratic Senator Franken to resign: CNN, citing sources",politicsNews,facts
277,"U.S. Interior Department wants more oil drilling, expedite ANWR permits",politicsNews,facts
278,Franken to make 11:45 a.m. announcement after harassment accusations,politicsNews,facts
279,"Democratic Senator Franken faces pressure to resign, announcement looms",politicsNews,facts
280,Trump administration sides against unions in high court fees case,politicsNews,facts
281,Trump's eldest son questioned in Congress about Russia,politicsNews,facts
282,Democratic lawmakers question Kushner on New York property: letter,politicsNews,facts
283,'Good to go': Top Trump aide gave inaugural day ok to nuclear plan - congressman,politicsNews,facts
284,"Factbox: Trump on Twitter (December 6) - America, California's wildfires",politicsNews,facts
285,U.S. appeals court hears arguments on Trump travel ban,politicsNews,facts
286,Trump warns of government shutdown threat ahead of meeting with lawmakers,politicsNews,facts
287,Trump would sign bill that funds government through December 22: statement,politicsNews,facts
288,Senate votes to pursue tax bill negotiations with House,politicsNews,facts
289,Bill letting people bring concealed guns across state lines passes U.S. House,politicsNews,facts
290,Senator Franken to resign on Thursday: Minnesota Public Radio,politicsNews,facts
291,"Factbox: Corporate alternative minimum tax threat hits pharma, tech",politicsNews,facts
292,Trump hopes to avoid government shutdown in meeting with lawmakers: White House,politicsNews,facts
293,Senate votes to begin tax bill negotiations with House,politicsNews,facts
294,Alabama Democrat turns up attacks on Roy Moore in Senate race's final stretch,politicsNews,facts
295,Corporate AMT likely will not be in final U.S. tax bill: Hatch,politicsNews,facts
296,U.S. attorney general calls for efficient review of immigration cases,politicsNews,facts
297,Utah Republicans defend Romney after Bannon's 'Mormon' jab,politicsNews,facts
298,Cuts to homeowner tax breaks could cost Republicans in 2018 races,politicsNews,facts
299,Justice Department seeks warrant to seize ancient ring trafficked by ISIS,politicsNews,facts
300,No. 2 Democrat in Senate calls on Franken to resign,politicsNews,facts
301,Congress tax negotiators may have final bill before Dec. 22,politicsNews,facts
302,"Senator Franken, facing resignation calls, to make announcement on Thursday: office",politicsNews,facts
303,Trump ally Bannon campaigns for Moore in Alabama,politicsNews,facts
304,"'You're wrong', Tillerson says of reports he will be fired",politicsNews,facts
305,Senate to vote later on Wednesday to work with House on tax bill: McConnell,politicsNews,facts
306,"Trump's first year in office marked by controversy, protests",politicsNews,facts
307,Democrats flex muscles as Congress confronts a government shutdown,politicsNews,facts
308,Factbox: Trump on Twitter (December 5) - Utah national monuments,politicsNews,facts
309,House tax positions begin to emerge ahead of talks with Senate,politicsNews,facts
310,Republican Party backs Senate candidate Moore: official,politicsNews,facts
311,Senate confirms Trump's pick for Homeland Security secretary,politicsNews,facts
312,House passes measure to limit aid to Palestinians over 'martyr payments',politicsNews,facts
313,Trump lawyer denies Deutsche Bank got subpoena on Trump accounts,politicsNews,facts
314,Senate committee advances bill easing banking regulations,politicsNews,facts
315,Trump lawyers say judge lacks jurisdiction for defamation lawsuit,politicsNews,facts
316,Mueller's Russia probe cost his office $3.2 million in first four months,politicsNews,facts
317,Credit union sues to block Mulvaney from leading CFPB,politicsNews,facts
318,Senior lawmaker Conyers leaves U.S. Congress after harassment accusations,politicsNews,facts
319,House Republican tax chief says lawmakers want AMT repeal,politicsNews,facts
320,White House says government shutdown always a possibility,politicsNews,facts
321,Exclusive: Trump names career diplomat to head Cuban embassy - sources,politicsNews,facts
322,Trump lawyer: Deutsche Bank has not received subpoena for Trump records,politicsNews,facts
323,"Trump says tax conference will go well, 'pretty quickly'",politicsNews,facts
324,"Trump, Obama dominate Twitter year, but chicken nuggets prevail",politicsNews,facts
325,Former Trump aide nomination to be Singapore envoy stalled over Russia concerns,politicsNews,facts
326,House Republicans mull length of spending bill as vote looms,politicsNews,facts
327,Factbox: What to watch in negotiations over details of U.S. tax bill,politicsNews,facts
328,Tillerson seeks to reassure worried Europe over Trump,politicsNews,facts
329,House tax panel chair to urge longer-lasting individual tax rate cuts,politicsNews,facts
330,Republican Party backs embattled Senate candidate Moore: official,politicsNews,facts
331,"In Brussels, Tillerson offers EU strong U.S. support",politicsNews,facts
332,EU warns Trump against recognizing Jerusalem as Israeli capital,politicsNews,facts
333,Supreme Court lets Trump's latest travel ban go into full effect,politicsNews,facts
334,Congress moves closer to final tax bill with House vote,politicsNews,facts
335,"Democrats to join Trump, Republicans in talks to avert government shutdown",politicsNews,facts
336,Manafort tried to pen positive op-ed on Ukraine work: special counsel,politicsNews,facts
337,"Trump son, former partner due before House panel this week: source",politicsNews,facts
338,"In slap at Romney, Trump says he wants Hatch to run for re-election",politicsNews,facts
339,Trump lawyer's account about tweets raises questions about what president knew,politicsNews,facts
340,Democrat cites drafting error in proposed capital rule amendment,politicsNews,facts
341,"House, Senate Republicans face challenge over corporate AMT tax",politicsNews,facts
342,Trump to nominate former NASA chief Griffin for defense undersecretary,politicsNews,facts
343,Trump criticizes treatment of Flynn as unfair,politicsNews,facts
344,Trump delays announcement on whether U.S. embassy to be moved to Jerusalem,politicsNews,facts
345,Mulvaney says no plans to fire U.S. consumer bureau's English,politicsNews,facts
346,Ex-U.S. consumer bureau head Cordray set to run for Ohio governor,politicsNews,facts
347,"John Anderson, liberal Republican who challenged Reagan, dies at 95",politicsNews,facts
348,U.S. defense chief urges Pakistan to redouble efforts against militants,politicsNews,facts
349,Trump backs Alabama Republican Senate candidate Moore,politicsNews,facts
350,Exclusive: U.S. document certifies Honduras as supporting rights amid vote crisis,politicsNews,facts
351,"Trump says encouraging Hatch to run for re-election, possibly blocking a Romney bid",politicsNews,facts
352,U.S. appeals courts to consider legality of Trump's latest travel ban,politicsNews,facts
353,Top Democrats in Congress accept Trump offer to meet on year-end priorities,politicsNews,facts
354,"White House: Trump spoke to Moore, endorsed his Senate campaign",politicsNews,facts
355,Massachusetts Senate president steps aside as husband faces probe,politicsNews,facts
356,Trump tweets about Russia probe spark warnings from lawmakers,politicsNews,facts
357,"Flynn pleads guilty to lying on Russia, cooperates with U.S. probe",politicsNews,facts
358,Factbox - The four men charged in U.S. probe of Trump-Russia ties,politicsNews,facts
359,McConnell optimistic of tax bill deal between Senate and House,politicsNews,facts
360,Factbox - Republicans cut side deals to push through U.S. Senate tax bill,politicsNews,facts
361,U.S. corporate alternative minimum tax should be removed: House Republican,politicsNews,facts
362,"Factbox: Trump on Twitter (Dec 4) - Roy Moore, Stock Market",politicsNews,facts
363,U.S. embassy to Russia to resume some visa services after diplomatic row,politicsNews,facts
364,Kremlin says Putin not influenced by ex-Trump official Flynn,politicsNews,facts
365,"Billy Bush: It was Trump's voice on ""Access Hollywood"" tape",politicsNews,facts
366,Embattled Alabama Republican Senate candidate ahead in CBS poll,politicsNews,facts
367,U.S. allies fret as 'guillotine' hangs over Tillerson,politicsNews,facts
368,McConnell says U.S. government shutdown over DACA 'ridiculous',politicsNews,facts
369,Trump says never asked Comey to stop investigating Flynn,politicsNews,facts
370,Trump lawyer Dowd says he drafted tweet on Flynn firing: Axios,politicsNews,facts
371,White House open to small changes on corporate tax rate: budget chief Mulvaney,politicsNews,facts
372,"Trump notes Flynn lied to FBI, says his actions during transition were lawful",politicsNews,facts
373,Mueller removed FBI agent from Russia probe for anti-Trump texts: reports,politicsNews,facts
374,Tillerson says no truth to reports that he is being replaced,politicsNews,facts
375,ABC News suspends top journalist over inaccurate Flynn reporting,politicsNews,facts
376,U.S. Senate tax bill accomplishes major Obamacare repeal goal,politicsNews,facts
377,Senate approves major tax cuts in victory for Trump,politicsNews,facts
378,U.S. Representative Levin says he will not run for reelection,politicsNews,facts
379,Trump says Flynn's actions during presidential transition were 'lawful',politicsNews,facts
380,How McConnell kept Republicans in line to win Senate tax bill,politicsNews,facts
381,Factbox: Key Republicans in U.S. Senate tax bill fight,politicsNews,facts
382,Factbox: Republican side-deals build support for Senate tax bill,politicsNews,facts
383,Exclusive: Mideast nuclear plan backers bragged of support of top Trump aide Flynn,politicsNews,facts
384,"Factbox: Trump on Twitter (Dec 1) - Kate Steinle, Tax cuts, Rex Tillerson",politicsNews,facts
385,Disputed CFPB acting director plans to seek preliminary injunction: filing,politicsNews,facts
